증상,병명
"대개는 상부 위장관내시경 중 우연히 발견되는 경우가 많고, 상복부 동통, 복부 팽만감, 하혈 혹은 토혈(출혈), 오심과 구토, 체중 감소, 소화불량, 연하 장애, 등을 호소할 수 있다.",위점막하종양
"발열과 서서히 진행하는 호흡곤란, 객담이 별로 없는 기침으로 나타난다. 폐포자충 폐렴은 면역기능이 저하된 사람에서만 발생한다. 세균 폐렴이나 바이러스 폐렴에 비해 진행경과가 느려서 증상이 생기고 나서 수 주후에 병원을 방문하는 경우가 흔하다.",주폐포자충폐렴
"가장 위험한 증상으로는 태아 수종(hydrops fetalis)이 있다. 용혈이 심해지면 빈혈 증상이 나타나고 이로 인해 저산소증이 발생하는데 이를 극복하기 위해 심박출량이 증가되어 심부전으로 빠질 수 있다. 결국 혈액량 증가, 정맥압 상승, 나트륨(Na) 및 염(Cl)의 체류, 전신 부종 등이 생긴다. 또한 파괴된 적혈구를 대체하기 위해 혈구 생성이 늘어나는데, 태아는 성인과 달리 골수 외에 다른 장기에서도 혈구 생성이 일어날 수 있다. 특히 간이나 비장에서 그러하며, 이런 장기들이 비대해지는 문제가 생긴다. 태아는 장기의 기능이 덜 성숙했기 때문에 과다한 일이 부여될 때 처리할 수 없는 상황이 발생할 수 있다.적혈구가 파괴되면 빌리루빈이 생성되는데 빌리루빈은 간에서 포합과정(glucuronidation)을 거쳐 수용성으로 변하여 장관으로 배설되는 과정을 거친다. 빌리루빈이 너무 많아 제대로 포합과정을 거치지 않고 혈중에 많이 떠다니게 되고(과빌리루빈혈증), 포합과정을 거치지 않은 비포합 빌리루빈은 비수용성 물질로 뇌와 척수의 방어막인 혈뇌장벽(Blood-brain barrier)을 통과하여 핵황달(kernicterus)이 발생하게 된다. 핵황달이 심할 경우 태아는 사망할 수 있다.",ABO신생아용혈성질환
"통증, 시력저하 없이 흰자위 일부가 선명한 붉은색으로 피가 고인 듯 보인다.",결막하출혈
"작은아프타구내염(Minor aphthous stomatitis), 주요아프타구내염(Major aphthous stomatitis), 포진모양 궤양(Herpetiform ulceration)의 3개의 임상형으로 구분할 수 있다. 혀뿐만 아니라 다른 입안의 점막에도 발생한다. 작은아프타구내염은 전체의 80%를 차지하며 여자에서 흔하고, 1 cm 미만으로 보통 3-4 mm 직경으로 1-5개의 원형 또는 타원형의 궤양과 주변부의 홍반이 생기고, 7-10일 정도에 호전되며 흉터가 생기는 경우는 많지 않다. 주요아프타구내염은 남자에서 흔하고, 1 cm 이상으로 보통 1.5-3 cm 크기로 더 통증이 심하고 흉터가 생기는 경우가 많으며 재발도 흔하다. 소아기에 시작하는 두 아프타구내염과 달리 포진모양 궤양은 20대에 주로 발생하며 여자가 흔하고, 1-2 mm의 작은 궤양이 다수 발생하여 합쳐지기도 한다.",소아혓바늘
"이 병에 걸린 환자의 일부에서 황달로 인해 피부가 누렇게 변하는 증상이 나타나기 때문에 황열(yellow fever)이라고 부르게 되었다. 증상은 잠복기, 급성기(acute phase), 독성기(toxic phase)로 나눌 수 있다. 3~6일 정도의 잠복기가 지나면 급성기가 나타난다.급성기에는 발열과 근육통, 오한, 두통, 식욕상실, 구역, 구토 등의 증상이 나타난다. 이러한 급성기 증상이 발생한 후 3~4일이 지나면 증상이 사라지는 것이 보통이지만 이후 환자의 15% 정도는 독성기로 접어들게 된다.독성기의 환자는 열이 다시 발생하며 급격히 황달, 복통, 구토 등의 증세가 나타난다. 또한 입, 코, 눈, 위장관 등에서 출혈이 발생할 수 있는데 이는 간 기능이 저하되어 간에서 혈액 응고 인자가 제대로 만들어지지 않기 때문이다. 급성신부전이 발생하기도 한다. 독성기로 접어든 환자의 절반 정도는 14일 이내에 사망한다.",황열
"골반염의 전형적인 증상은 골반통, 발열, 진찰 시 자궁경부나 자궁부속기(난소와 난관)의 통증 등이다. 그러나 이외에도 골반염의 증상은 매우 다양하므로 하복통, 질 분비물 증가, 월경량 과다, 열감, 오한, 배뇨 시 불편감 등 비뇨생식기계의 이상 증상이 있는 모든 여성에서 골반염의 가능성을 염두에 두어야 한다. 골반염이 있더라도 아무 증상이 없는 경우도 있다.",골반염
재발성 천명은 호흡을 할 때 쌕쌕거리는 호흡음이 들린다. 들숨 때보다는 날숨 때 발생할 때 발생하는 숨소리이다.,천명
"새열낭종은 고전적으로 4가지 형태로 분류되어 왔고, 이 중 제2형이 90% 이상이다. 1형과 2형 새열낭종은 일반적으로 상부 측경부에 나타나며, 3형과 4형은 상대적으로 드물고 대부분 하부 경부의 좌측에서 발견된다. 제3형은 흉쇄유돌근의 전방에 피부와 연결이 있으며, 4형은 이상와의 첨부에서 누공로가 시작된다.제1새열기형은 이개 하방 부위에 농양이 발생한 것으로 오인될 수 있다. 제2새열기형은 대부분 일측성이지만 드물게 양측성으로 발생하는 경우도 있으며, 낭종의 형태가 흔하며, 측경부의 하악후방, 흉쇄유돌근의 전방에 위치하는 매끄럽고 부드러운 타원형의 낭종으로 나타난다.제3새열기형은 부인두낭종으로 나타나는 경우도 있으며, 신생아에서는 기도폐쇄를 일으킬 수도 있다.제4새열기형은 대부분 소아에서 증상이 나타나며, 누공의 내부가 하인두의 이상와로 연결되어 분비물이나 음식물에 노출되어 10세 이전에 반복적인 좌측 경부의 농양 형태로 나타난다. 또는 반복적인 급성 화농성 갑상선염의 형태로 나타나거나 영아에서는 반복적인 인후두농양과 봉소염으로 인한 호흡곤한 또는 삼킴곤란과 같은 폐쇄증상을 나타날 수 있다.새열낭종은 경부의 종물로 감염되지 않았다면 경부 측면의 종물 외 증상이 거의 나타나지 않는다. 다만 상기도 감염, 이차 감염으로 인해 반복적으로 염증이 발생하거나 붓기도 합니다. 새열 낭종이 있는 부위를 누르면 통증이 있거나 농이 흘러나올 수 있다. 낭종의 크기가 크면, 연하(삼킴) 곤란, 호흡 곤란, 발음 장애 등의 증상이 나타난다.",새열낭종
"출생 시에는 비교적 편평하나 피부가 두껍거나 표면이 사마귀 모양을 보이는 경우도 있으며, 표면에 굵은 털이 나는 경우도 있습니다. 모반은 특히 등 부위에 많이 발생하며 피부 분절을 따라 분포하는 경향을 보이기도 합니다. 자라면서 신체 성장에 비례하는 정도로 같이 커지며, 표면은 점점 더 울퉁불퉁해지는 경향을 보이고, 간혹 모반 위로 혹이 생기는 경우도 있습니다. 사춘기에 색깔이 진해지면서 거친 털이 많이 생기는 경향이 있습니다.거대색소모반은 정상피부에 비해 악성 흑색종이 발생할 위험성이 크다고 알려져 있습니다. 갑자기 병변 안에 혹이 발생하거나, 매우 진한 색소침착, 가려움증, 통증, 출혈, 궤양 등의 증상이 생기면 악성 변화의 위험성을 고려해야 합니다. 악성 흑색종이 대부분 백인에서 발생하는 것과는 달리 거대색소모반의 악성변화는 인종적인 차이가 없습니다.한편 두경부(머리와 목)나 척주(몸의 기둥을 이루는 등뼈)를 중심으로 선천성 멜라닌 세포성 모반이 있거나 거대색소모반 주위에 여러 개의 작은 모반들이 관찰되는 경우에 모반세포가 중추신경계나 뇌막까지 침범한 신경피부 멜라닌색소증(neurocutaneous melanosis)이 드물게 발생할 수 있는데 뇌수종, 간질발작, 신경학적 이상, 정신지체 등을 동반하는 경우가 있습니다.  


등 부위에 나타난 거대 색소 모반",거대색소모반
"비만아는 같은 연령의 다른 아이들에 비해 키가 약간 크지만, 사춘기가 빨리 오면서 성인 키는 일반인과 큰 차이가 없다. 남아나 여아에서 가슴 부위에 지방이 축적되면서 유방이 나오는 것처럼 보이기도 한다. 남아에서는 치부에 지방이 많이 쌓이면서 고추가 실제에 비해 작아 보이기도 한다.소아 시기에 비만이 있으면 성인 시기에도 비만이 지속적으로 있을 가능성이 매우 높다. 비만이 지속되면 지방간, 고콜레스테롤 혈증, 고혈압, 당뇨병, 심혈관 질환, 호흡기 질환, 종양, 불임, 우울증, 사회 부적응 등이 다양하게 발생할 수 있어, 결국 수명 단축까지 초래하게 된다.",소아비만
"선천성 기형이 영아 사망 원인에서 출생 전후기 질환 다음으로 흔한 원인이고, 영아의 신생아 후기 사망 원인으로는 가장 흔한 원인이다. 의학적인 처치를 필요로 하는 주요 기형은 2~3% 정도이며 경미한 비주요 기형(경미한 요도밑림증, 경미한 음핵 비대 등)은 주의 깊게 관찰하면 약 1% 정도에서 종종 관찰된다. 우리나라의 경우는 65,000명의 신생아 중 1.7%의 선천성 기형 발생률을 보인다. 선천 기형을 가진 신생아의 약 1/2은 한 개의 기형을 가지고 있고, 나머지 1/2은 다발 기형을 나타낸다.",선천성결함
"소뇌와 척수에 생긴 병적인 변화로 인해 실조증이 나타날 수 있다. 소뇌는 평형, 근육긴장도, 자세, 운동활성 등과 관련된 운동을 수행함에 있어 다양한 근육이 적절한 순서에 따라 순차적으로 수축하고 이완하는 현상(협조운동)을 담당한다. 따라서 소뇌에 기능장애가 발생한 경우 근육협동장애(dyssynergia), 근육운동의 변질(decomposition of movement), 겨냥이상(dysmetria) 등의 증상이 나타난다. 임상 진료 시 손쉽게 할 수 있는 신체 검진으로는 손가락 맞대기 검사(finger-to-finger test)가 있는데, 환자의 손가락이 목표물을 지나치거나(hypermetria) 또는 닿지 못하는(hypometria) 증상을 보이면 실조증을 의심할 수 있다. 하지에서는 발꿈치-정강이 검사(heel to shin test)를 할 수 있다. 상반운동되풀이장애(dysdiadochokinesia)의 여부를 확인하기 위해 손목의 엎침뒤침운동을 빠르게 해보도록 시킬 수 있다. 또한 일직선상에서 앞발꿈치와 뒷발꿈치를 붙이면서 걷는 일자 보행(tandem gait)을 정상적으로 수행할 수 있는지를 관찰하여 소뇌기능을 평가할 수 있다.척수에 생긴 병적인 변화에 의해 나타나는 실조증은 사지 말단의 위치감각 및 진동감각의 소실이 동반된다. 또한 소뇌의 병적 변화로 인한 실조증과 유사한 증상도 나타나는데 즉, 눈을 감고 소뇌기능평가를 하였을 때 검사 수행 능력이 현저하게 떨어지는 현상이 나타난다.척수소뇌실조증 중 척수소뇌실조증3(SCA3)의 경우에는 실조증 이외에 눈근육마비(ophthalmoplegia), 말초신경병증 및 근육긴장이상이 동반될 수 있고, SCA2는 심부건반사 저하 및 느린홱보기(slow saccade), SCA6는 과호흡에 의해 유발되는 눈떨림(nystagmua) 및 겨냥이상이 나타날 수 있다. SCA1은 시신경위축과 근육긴장저하, SCA7은 황반변성(macular degeneration)이 동반될 수 있다. 기타 시간 간격을 두고 반복되어 실조증이 발생하는 우성유전 간헐실조증(episodic ataxia)이 있을 수 있다.",유전성실조증
수면과다증의 주요 증상은 낮 시간 동안의 과도한 피로이다. 이로 인해 낮시간 동안의 활동에 영향을 받게 된다. 또한 수면과다증이 있을 경우 수면에서 깨어나는 데에 일반인보다 어려움을 겪을 수 있다.이외 수면과다증에서 동반될 수 있는 증상은 아래와 같다.-에너지 부족-과민성-걱정-식욕 부진-느린 생각이나 말-집행기능의 저하-기억하기 어려움-안절부절 못함,수면과다증
"뇌동정맥 기형은 비교적 드물지 않은 기형으로, 외국의 조사에서 인구의 약 0.01~0.1%가 가지고 있다고 한다. 뇌동정맥 기형은 동맥의 높은 혈압이 상대적으로 약한 정맥으로 바로 전달이 되므로 정맥 쪽에서 출혈의 위험이 있다. 뇌동정맥 기형의 약 50%가 뇌출혈로 나타나며, 뇌출혈의 부위와 출혈량에 따라서 두통, 사지 마비, 의식 저하와 같은 다양한 신경학적 이상이 나타나게 된다. 약 30%의 환자는 뇌출혈 이전에 간질 발작을 일으켜 발견된다.동맥혈이 뇌조직으로 흐르지 않고 바로 정맥을 통해 빠져나가는 단락(shunt) 현상으로 인하여 뇌동정맥 기형 주변의 뇌조직에 허혈(ischemia)이 유발되고 뇌기능에 이상이 와서 간질 발작을 하게 된다. 약 10~20%의 환자는 두통을 호소하여 진단된다. 두통은 허혈에 의해 유발되기도 하고 뇌동정맥 기형을 통한 동맥압에 의해 생기기도 하는데 갑자기 생긴 심한 두통은 뇌출혈을 의심해야 한다. 최근에는 뇌 컴퓨터 단층촬영(CT), 뇌 자기공명영상(MRI)이 널리 보급되면서 교통사고 등으로 사진을 찍고 진단되는 무증상 환자도 증가하고 있다.",뇌동정맥기형
"피부 표면에 입는 외상으로 출혈이 있을 수 있으며, 통증이 동반됩니다.",찰과상
"적혈구 과다증은 증상이 없거나 적혈구 증가에 따른 증상 또는 적혈구 과다증의 원인 질환에 따른 증상이 발생할 수 있다. 적혈구 증가에 따른 주된 증상은 혈액의 과다 점도와 동맥 및 정맥의 혈전증에 의한 것들이다. 적혈구 과다증이 심한 경우 어지럼증, 귀울림, 두통, 시력장애, 일과성허혈발작(혈액흐름이 일시적으로 막혔다가 이어져 나타나는 뇌기능 저하) 등의 신경학적 증상이 발생할 수 있고, 손가락의 허혈 및 복강 내 정맥혈전증 등과 같은 정맥 또는 동맥 혈전에 의한 합병증이 발생할 수 있으며, 고혈압이 발생하기도 한다.진성 적혈구증가증의 경우에는 가려움증과 간 및 비장 종대, 혈액 정체와 혈소판 증가로 인하여 멍이 잘 들고 위장관 출혈, 코피 등이 나타나기도 한다.",적혈구과다증
"일반적으로 불임, 여성형 유방을 검사하다가 우연히 진단된다. 고환 기능저하(남성호르몬 분비 저하, 정자 생성 불가능)와 다양한 학습 및 지능 저하가 가장 특징적인 소견이다. 키는 일반적으로 정상이거나 평균보다 약간 클 수 있으며 대부분 지능은 정상이지만, 미세한 학습장애 등이 나타날 수 있다. 50% 정도의 환자에게서는 심장 판막의 이상이 동반되기도 한다.",클라인펠터증후군
"성인에서 패혈증이 발열이나 저체온, 빈맥, 빈호흡, 백혈구의 증가 또는 감소, 혹은 미성숙 백혈구의 증가 등이 나타나는 데 반하여, 신생아는 보챔, 늘어짐, 체온 불안정, 관류 장애, 저혈압, 구토 등의 비특이적 증상으로 나타난다. 시간이 지남에 따라 호흡곤란, 무호흡, 쇼크, 경련, 혈액 응고 장애 등의 전신적이고 심각한 증상을 나타내게 된다.",신생아패혈증
"지루성 피부염은 생후 3개월 이내 그리고 40~70세 사이에 발생빈도가 높다. 유아에서는 성별간의 차이가 없으나 성인에서는 남성에게 더 흔하며 지성 피부와 관련이 있다.홍반 위에 발생한 건성 혹은 기름기가 있는 노란 비늘(인설)이 특징이며 가려움증을 동반할 수 있다. 호전과 악화를 되풀이하며 전신으로 나타날 수도 있으나 한 부위에 국한된 발진으로 나타날 수도 있다. 두피에는 쌀겨 모양의 표피탈락이 생길 수 있는데 이런 현상을 비듬이라 한다.얼굴의 지루성 피부염은 뺨, 코, 이마에 구진성(1cm 미만 크기의 솟아 오른) 발진으로 나타날 수 있다. 쉽게 벗겨지는 비늘과 홍반이 눈썹에서 발견되고 비늘 밑의 피부는 붉은 색을 띈다. 눈꺼풀도 황적색을 띄며 미세한 비늘로 덮여있는 경우가 있다.귀에서 생긴 지루성 피부염은 감염으로 인한 겉귀길염(외이도염)으로 오진될 수 있다. 바깥귀길에는 심한 가려움증을 동반한 비늘이 발생하고 귀 뒤 부위와 귓불 아래의 피부에도 발생할 수 있다. 겨드랑이 부위에서는 발진이 양측성으로 꼭지에서 시작되어 주변의 피부로 퍼지므로 방취제에 의한 알레르기 접촉 피부염과 유사한 모양을 나타낸다. 샅고랑 부위, 둔부 사이의 주름에도 비늘이 미세하고 경계가 덜 명확하며 양측성과 대칭성 경향이 있다. 피부가 겹친 부위에는 균열이 발생하기도 한다.유아에서 두피에 쌓이고 엉겨붙은 황색 또는 갈색 병변을 애기머릿기름이라고 한다.",지루성피부염
"급성 중이염은 염증 상태의 심한 정도나 병의 증상에 따라 발열, 두통, 구토, 설사, 소화불량, 식욕부진, 무기력감, 불안, 초조감 등 여러 가지 일반적인 염증 증상이 서서히 또는 급격히 나타난다. 발열, 이통, 난청, 이명, 이루와 같은 귀의 급성 증상이 동반되기도 한다. 삼출성 중이염의 경우에는 급성 증상들은 사라지지만, 전음성 난청(conductive hearing loss)이나 이충만감, 자신의 음성이 크게 울려 들리는 자성강청(autophonia) 등이 나타난다.  


급성 중이염의 증상",비화농성중이염
"지역과 인종에 따라 발생 빈도가 차이가 있으나 성별에 따른 차이는 없다.북미에서는 6세 전후의 아동에게 잘 발생하지만, 우리나라와 유럽에서는 3세 이하의 영유아에게 잘 발생하는데, 신생아나 18세 이후의 연령에서는 잘 발생하지 않는다. 최근 발생 빈도가 전 세계적으로 급격히 감소하는 추세이다. 사망률도 50%에서 20%로 감소하였다.인플루엔자 등 상기도 감염 환자나 수두 환자가 발병 5~7일 내에 갑자기 심한 구토를 보이면서 의식 상태가 나빠지고 경련, 혼수, 사망으로 급격히 진행하며, 뇌압 상승이 있는 뇌증과 함께 간 비대와 황달이 없는 급성 간부전 소견을 보이는 것이 특징이다. 환자의 대부분(90%)에서 발병 수일 전 인플루엔자 등 상기도 감염 증상이 있고, 일부는 수두의 병력이 있다.입원 당시 환자 상태에 따라 다음 5단계로 분류한다. - I단계: 비교적 조용한 상태, 기면과 졸리움, 구토, 간 기능 부전의 검사 소견 - II단계: 깊은 기면 상태, 착란, 망상, 도발적, 과 호흡, 반사 이상 및 항진 - III단계: 둔감한 상태, 가벼운 혼수 및 경련, 정상적인 동공반사 - IV단계: 경련, 깊은 혼수 상태, 제뇌 경직(decerebrate rigidity, 뇌를 제거한 포유류가 나타내는 전신근육의 이상 긴장), 안구 두부 반사 소실, 동공 고정 - V단계: 혼수, 심부건 반사 소실, 호흡 정지, 동공 이완",라이증후군
"피부암의 증상은 질환에 따라 차이가 있다.1) 기저세포암: 흔한 침범부위는 얼굴이며, 손등, 팔등에 발생하는 경우는 드물다. 임상적으로 여러 가지 모습을 보일 수 있다. 가장 흔한 모습은 결절궤양 형태로써, 보통 표면이 밀랍처럼 매끈하고 반투명한 결절로 시작한다. 서서히 자라면서 대개 병변 가운데가 움푹 들어가서 궤양이 생긴다. 우리나라 환자에게서는 갈색 또는 검은색으로 보이는 색소 기저세포암도 흔하게 관찰할 수 있다.2) 편평세포암: 흔한 침범부위는 얼굴 상부, 손등, 팔등, 아랫입술, 귓바퀴 등이다. 병변은 결절판모양, 사마귀모양, 궤양 등의 다양한 형태로 진행하고, 대개는 만져보았을 때 딱딱하다. 병변의 경계는 명확하지 않으며, 흔히 보이는 범위를 넘어서서 암세포가 침범하고 있다.3) 흑색종: 흔한 침범부위는 손발가락, 얼굴(특히 코와 뺨), 등, 정강이 등이다. 대부분은 증상이 없이 평범한 검은 반점이나 결절로 보이므로 정확한 진단을 위해서는 자세한 관찰이 필요하다. 병변이 대칭적이지 않고 경계가 불규칙하고 색깔이 다양하고 직경이 0.6cm 이상인 경우에 흑색종일 가능성이 높다. 


피부암의 여러 증상",피부암
"증상은 대개 점진적으로 나타나는데, 어떤 경우는 무증상으로 수개월 내지 수년간 지내다 나중에 증상이 발생하거나 흉부 X-선 촬영에서 우연히 심장 비대 소견으로 발견되는 경우도 있다. 가장 흔한 증상은 심장 기능이 저하됨(심부전)에 따른 활동 시 피로감, 쇠약감, 운동능력 저하 등이다. 질병이 진행하면서 심부전의 증상으로 호흡곤란이 발생한다. 대개 우심실 기능은 유지되는 경우가 많은데 우심실 기능 저하에 따른 복수(복부에 물이 차는 것), 목 정맥 확장, 간 비대, 부종이 동반되면 예후가 나쁜 것으로 알려져 있다.",확장성심근병증
"팔꿈치 외측에서 서서히 시작 되는 통증을 호소하고, 통증은 전완부 외측으로 방사되고, 통증은 주먹을 강하게 쥐거나 손목 관절을 능동적으로 신전시키는 동작에서 악화된다. 통증의 정도는 미약한 정도부터,  때로는 밤에 잠을 못 잘 정도로 심한 상태가 되기도 한다.",테니스엘보
"다양한 증상이 사구체신염에서 나타날 수 있으며 급성 혹은 만성으로 나타난다. 혈뇨가 발생하여 소변 색이 붉거나 어떤 경우 콜라색으로 진하게 나타날 수 있다. 단백뇨가 동반되어 소변에 거품이 많아질 수 있다. 종종 고혈압이 동반 될 수 있으며 체액이 과도하여 주로 얼굴, 다리에 부종이 생길 수 있다.",사구체신염
"원인에 따라 통증의 심각한 정도가 달라질 수 있으며, 연하곤란은 동반되기도 동반되지 않기도 한다.",연하통
"주요 수면 삽화의 초기 1/3 동안에 불완전하게 깨는 증상이 나타나며, 수면보행증 또는 야경증 중 한 가지 이상이 동반된다. 깨어난 후 꿈을 전혀 또는 거의(예. 단지 시각적 한 장면) 회상하지 못한다. 아동에서 가장 흔하게 발생하고 연령이 증가함에 따라 감소하여 성인에서는 거의 나타나지 않는다.1) 수면보행증: 수면 중 침대에서 일어나서 걸어 다니는 양상을 보이며 수면 중 보행 동안 개인은 무표정하게 응시하는 얼굴을 보이고, 대화하려는 다른 사람의 노력에 비교적 반응을 보이지 않는다. 깨우기가 매우 어렵고, 때때로 수면관련 섭식 행동(의도하지 않고 인식하기 힘든 반복적이고 부적절한 음식 섭취)과 수면관련 성적행동(의식적인 지각 없이 자위, 애무, 성행위 등 다양한 정도의 성행동)으로 나타나기도 한다.2) 야경증: 돌발적인 비명과 함께 시작되는, 수면 중 급작스럽게 잠이 깨는 양상을 보이며 각 삽화 동안 심한 공포와 동공산대, 빈맥, 빈호흡, 발한 같은 자율신경계 반응의 징후가 있다. 삽화 동안 안심시키려는 다른 사람의 노력에 비교적 반응하지 않으며, 다음날 아침에 깼을 때 삽화를 기억하지 못한다.",각성장애
"보통 인식을 잘 못하는 것은 다양한 인지 영역의 병적인 변화에 의해 발생하고, 각성이 되지 않는 것은 의식 수준(주변의 일을 어느 정도 알고 있는가)의 변화에 의해 발생한다고 할 수 있다. 급성 질환으로 인해 의식 장애가 발생하면 의식은 각성(alert)-기면(drowsy)-혼미(stupor)-반혼수(semicoma)-혼수(coma)의 순서로 장애가 나타나고, 그 역순으로 회복된다. 각성은 정상인이 깨어 있을 때와 같은 상태이다. 기면 상태에서는 각성이 감소하므로 소리나 통증 등의 외부 자극이 없으면 각성 상태를 유지하기 어렵다. 또한 주의력의 결핍과 혼돈이 나타나 대화를 지속적으로 유지하기 어렵지만 자극을 주면 느리고 적절하게 반응한다. 혼미 상태에서는 비교적 강한 통증 자극을 주거나 환자를 지속적으로 심하게 흔들어야 깨울 수 있다. 환자를 깨우면 눈을 뜨기는 하지만 적절한 의사소통이 불가능하며 자극을 제거하면 곧 수면과 같은 상태에 빠지게 된다. 반혼수 상태는 아주 심한 자극을 주어도 깨우기 어렵지만 반사적 움직임을 보인다. 혼수상태는 자고 있는 듯이 보이지만 아주 심하게 자극을 주어도 환자를 깨울 수 없는 상태이다. 자발적인 움직임이 없고 극히 심한 통증 자극을 가해도 움직이지 않는다.",혼수
"베체트병에서는 눈 이외의 증상이 눈 증상이 발현되기 전에 나타나는 경우가 많다. 구강 아프타 궤양은 90-100%의 환자에서 나타나고, 외음부 궤양은 60-80%, 피부 증상은 41-94%, 관절염 증상은 47-69%, 피부 과민성반응 검사 양성반응은 19-53%, 위장관 증상은 3-30%, 그리고 신경 증상은 8-31%에서 발생한다. 베체트병은 악화와 호전이 반복되는 경과를 보이는 것이 특징이고, 불행히도 그 기간과 횟수는 예측할 수가 없다. 재발되는 증상 사이의 기간은 평균 1-2개월 이지만 짧게는 1주부터 길게는 2년 정도일 수도 있다. 가장 흔한 첫 증상은 구강과 외음부 궤양이고, 특징적으로 심한 안내염증이 재발하며, 안통, 충혈, 눈부심, 시력감퇴가 동반된다. 전방축농을 동반한 홍채염은 처음에는 특징적 증상으로 알려졌지만, 지금은 환자들의 약 1/3에서만 나타난다.",베체트병
