증상,병명
출생 시 비교 편평 하나 피부 표면 사마귀 모양 경우 표면 털 나 경우 모반 등 부위 발생 피부 분절 분포 경향 보 신체 성장 비례 정도 표면 점점 더 경향 보이 간혹 모반 위로 혹 경우 사춘기 색깔 털 경향 거대 색소 모반 정상 피부 악성 흑색종 발생 위험성 갑자기 병변 안 혹 발생 거나 매우 색소 침착 가려움증 통증 출혈 궤양 등 증상 생기 악성 변화 위험성 고려 악성 흑색종 대부분 백인 발생 것 달리 거대 색소 반의 악성 변화 인종 차이 한편 두경부 머리 목 나 척주 몸 기둥 등뼈 를 중심 선천성 멜라닌 세포 모반 거대 색소 모반 주위 여러 개 모반 관찰 경우 세포 중추신경계 뇌막 침범 신경 피부 멜라닌 색소 증 이 발생 수 뇌 수종 간질 발작 신경학 이상 정신지체 등 동반 경우 등 부위 거대 색소 모반,거대색소모반
비만 연령 다른 아이 키 약간 사춘기 성인 키 일반인 차이 가슴 부위 지방 축적 유방 것 보 남아 치부 지방 고추가 실제 보 소아 시기 비만 성인 시기 비만 지속 가능성 매우 비만 지속 지방간 콜레스테롤 혈증 고혈압 당뇨병 심 혈관 질환 호흡기 질환 종양 불임 우울증 사회 부 적응 등 발생 수 수명 단축 초래,소아비만
선천성 기형 영아 사망 원인 출생 후기 질환 다음 원인 영아 신생아 후기 사망 원인 가장 원인 의학 처치 필요 주요 기형 정도 비주 기형 요도 밑림증 음핵 비대 등 은 주의 관찰 약 정도 종종 관찰 우리나라 경우 명의 신생아 중 의 선천성 기형 발생 률 선천 기형 신생아 약 은 개 기형 가지 나머지 은 다발 기형,선천성결함
소뇌 척수 병적 변화 실 조증 수 소뇌 평형 근육 긴장도 자세 운동 활 등 관련 운동 수행 함 근육 순서 순차 수축 이완 현상 협조 운동 담당 따라서 소뇌 기능장 애가 발생 경우 근육 협동 장애 운동 변질 겨냥 이상 등 증상 임 진료 시 수 신체 검진 손가락 검사 환자 손가락 목표 물 증상 보이 실 조증 의심 수 발꿈치 정강이 검사 를 수 상반 운동 되풀이 장애 의 여부 확인 위해 손목 엎침뒤침운동 수 또한 일직선 앞 발꿈치 발꿈치 일자 보행 정상 수행 수 관찰 소뇌 기능 평가 수 척수 병적 변화 실 조증 사지 말단 위치 감각 및 진동 감각 소실 동반 또한 소뇌 병적 변화 실 조증 증상 즉 눈 감고 소뇌 기능 평가 때 검사 수행 능력 현저 현상 척수 소뇌 실 조증 중 척수 소뇌 실 조증 의 경우 실 조증 이외 눈 근육 마비 말초신경 병증 및 긴장 이상 동반 수 심 부건 반사 저하 및 홱 보기 과 호흡 유발 눈 및 겨냥 이상 수 은 시신경 위축 근육 긴장 저하 은 황반변성 이 동반 수 기타 시간 간격 반복 실 조증 발생 우성 유전 간 조증 이 수,유전성실조증
수면 과 증 주요 증상 낮 시간 동안 과도 피로 이로 낮 시간 동안 활동 영향 또한 수면 과 증 경우 수면 데 일반인 어려움 수 이외 수면 과 증 동반 수 증상 아래 에너지 부족 과민성 걱정 식욕 부진 생각 말 집행 기능 저하 기억 어려움,수면과다증
뇌동 정맥 기형 비교 기형 외국 조사 인구 약 가지 뇌동 정맥 기형 동맥 혈압 상대 정맥 바로 전달 정맥 쪽 출혈 위험 뇌동 정맥 기형 약 뇌출혈 뇌출혈 부위 출혈량 따라서 두통 사지 마비 의식 저하 신경학 이상 약 의 환자 뇌출혈 이전 간질 발작 발견 동맥혈 뇌 조직 바로 정맥 통해 단락 현상 뇌동 정맥 기형 주변 뇌 조직 혈 이 유발 뇌 기능 이상 간질 발작 약 의 환자 두통 호소 진단 두통 혈 유발 기도 뇌동 정맥 기형 통한 맥압 생기 기도 갑자기 두통 뇌출혈 의심 최근 뇌 컴퓨터 단층 촬영 뇌 자기공명 영상 이 널리 보급 교통사고 등 사진 진단 무증상 환자 증가,뇌동정맥기형
피부 표면 외상 출혈 수 통증 동반,찰과상
적혈구 과 증 증상 적혈구 증가 증상 적혈구 과 증 원인 질환 증상 발생 수 적혈구 증가 증상 혈액 과 점도 동맥 및 정맥 혈전 증 것 적혈구 과 증 경우 어지럼증 귀울림 두통 시력장애 일과 혈 발작 혈액 흐름 일시 뇌 기능 저하 등 신경학 증상 발생 수 손가락 혈 및 복강 내 정맥혈 증 등 정맥 동맥 혈전 합병증 발생 수 고혈압 발생 진성 적혈구 증가 증 경우 가려움증 간 및 비장 종대 혈액 정체 혈소판 증가 멍 위 장관 출혈 코피 등,적혈구과다증
일반 불임 여성 유방 검사 진단 고환 기능 저하 남성호르몬 분비 저하 정자 생 불가능 학습 및 지능 저하 가장 특징 소견 키 일반 정상 거나 평균 약간 수 대부분 지능 정상 학습장애 등 수 정도 환자 심장 판막 이상 동반 기도,클라인펠터증후군
성인 패혈증 발열 체온 빈맥 빈 호흡 백혈구 증가 감소 성숙 백혈구 증가 등 데 신생아 체온 불 안정 관류 장애 저혈압 구토 등 비 특이 증상 시간 지남 호흡 곤란 무 호흡 쇼크 경련 혈액 응고 장애 등 전신 증상,신생아패혈증
지루 피부염 생후 개월 이내 세 사이 발생 빈도 유아 성별 차이 성인 남성 더 지성 피부 관련 홍반 위 발생 건성 기름기 비늘 인설 이 특징 가려움증 동반 수 호전 악화 되풀이 전신 수도 부위 국한 발진 수도 두피 쌀겨 모양 표피 탈락 수 현상 비듬 얼굴 지루 피부염 뺨 코 이마 진성 미만 크기 오른 발진 수 비늘 홍반 눈썹 발견 비늘 밑 피부 색 눈꺼풀 황적색 비늘 경우 귀 지루 피부염 감염 겉 길염 염 오진 수 바깥 길 가려움증 동반 비늘 발생 귀 뒤 부위 귓불 아래 피부 발생 수 겨드랑이 부위 발진 양 성 꼭지 시작 주변 피부 방취 제 알레르기 접촉 피부염 모양 샅 고랑 부위 둔부 사이 주름 비늘 경계 덜 양 성과 대칭성 경향 피부 겹친 부위 균열 발생 유아 두피 겨 황색 갈색 병변 애기 머릿 기름,지루성피부염
급성 중이염 염증 상태 정도 병 증상 발열 두통 구토 설사 소화 불량 식욕부진 무기 감 불안 초조 감 등 여러 가지 일반 염증 증상 서서히 발열 이통 난청 이명 이루 귀의 급성 증상 동반 기도 삼 성 중이염 경우 급성 증상 음성 난청 이나 이충만 감 자신 음성 크게 자성 강청 등 급성 중이염 증상,비화농성중이염
지역 인종 발생 빈도 차이 성별 북미 세 전후 아동 발생 우리나라 유럽 세 이하 유아 발생 신생아 세 이후 연령 발생 최근 발생 빈도 전 세계 감소 추세 사망률 로 감소 인플루엔자 등 상기 감염 환자 수두 환자 발병 내 갑자기 구토 의식 상태 경련 혼수 사망 진행 뇌압 상승 뇌증 간 비대 황달 급성 간부전 소견 것 특징 환자 대부분 발병 수일 전 인플루엔자 등 상기 감염 증상 일부 수두 병력 입원 당시 환자 상태 다음 단계 분류 단계 비교 상태 기면 졸리 움 구토 간 기능 부전 검사 소견 단계 기면 상태 착란 망상 도발 과 호흡 반사 이상 및 항진 단계 상태 혼수 및 경련 정상 동공 반사 단계 경련 혼수 상태 뇌 경직 뇌 제거 포유류 근육 이상 긴장 안구 두부 반사 소실 동공 고정 단계 혼수 심 부건 반사 소실 호흡 정지 동공 이완,라이증후군
피부암 증상 질환 차이 세포 암 침범 부위 얼굴 손등 등 발생 경우 임 상적 여러 가지 모습 수 가장 모습 결절 궤양 형태 로써 보통 표면 밀랍 결절 시작 서서히 대개 병변 가운데 움푹 궤양 우리나라 환자 갈색 검은색 색소 세포 암도 관찰 수 편평 세포 암 침범 부위 얼굴 상부 손등 등 아랫입술 귓바퀴 등 병변 결 절판 모양 사마귀 모양 궤양 등 형태 진행 대개 때 병변 경계 범위 암세포 침범 흑색종 침범 부위 손발가락 얼굴 코 뺨 등 정강이 등 대부분 증상 반점 결절 진단 위 관찰 병변 대칭 경계 색깔 직경 이상인 경우 흑색종 일 가능성 피부암 여러 증상,피부암
증상 대개 점진 경우 무증상 개월 내지 수년 나중 증상 발생 거나 흉부 선 촬영 심장 비대 소견 발견 경우 가장 증상 심장 기능 저하 심부전 활동 시 피로 감 쇠약 감 운동 능력 저하 등 질병 진행 심부전 증상 호흡 곤란 발생 대개 우심실 기능 유지 경우 우심실 기능 저하 복수 복부 물이 것 목 정맥 확장 간 비대 부종 동반 예후 것,확장성심근병증
팔꿈치 외측 서서히 시작 통증 호소 통증 전완 부 외측 방사 통증 주먹 손목 관절 능동 신전 동작 악화 통증 정도 미약 정도 때로는 밤 잠 못 정도 상태 기도,테니스엘보
증상 체신 염 수 급성 만성 혈뇨 발생 소변 색 경우 콜라 색 수 단백뇨 동반 소변 거품 수 종종 고혈압 동반 수 체액 과도 주로 얼굴 다리 부종 수,사구체신염
원인 통증 정도 수 연하곤란 동반 기도 동반,연하통
주요 수면 삽화 초기 동안 증상 수면 보행 증 야경증 중 가지 이상 동반 후 꿈 전혀 거의 예 단지 시각 장면 회상 아동 가장 발생 연령 증가 함 감소 성인 거의 수면 보행 증 수면 중 침대 일어나서 양상 보이 수면 중 보행 동안 개인 무표정 응시 얼굴 보이 대화 다른 사람 노력 비교 반응 보이지 매우 수면 관련 섭식 행동 의도 인식 반복 음식 섭취 과 수면 관련 성적 행동 의식 지각 자위 애무 성행위 등 정도 행동 야경증 돌발 비명 시작 수면 중 급작 잠 양상 보이 각 삽화 동안 공포 공산 빈맥 빈 호흡 발 자율신경계 반응 징후 삽화 동안 안심 다른 사람 노력 비교 반응 다음 날 아침 때 삽화 기억,각성장애
보통 인식 것 인지 영역 병적 변화 발생 각성 것 의식 수준 주변 일 정도 알 의 변화 발생 수 급성 질환 의식 장애 발생 의식 각성 기면 혼미 혼수 혼수 의 순서 장애 그 역순 회복 각성 정상인 때 상태 기면 상태 각성 감소 소리 통증 등 외부 자극 각성 상태 유지 또한 주의력 결핍 혼돈 대화 지속 유지 자극 반응 혼미 상태 비교 통증 자극 주거 환자 지속 수 환자 눈 의사소통 자극 제거 곧 수면 상태 혼수 상태 아주 자극 주어 사적 움직임 혼수상태 자고 듯이 보이 아주 자극 주어 환자 수 상태 자발 움직임 극히 통증 자극 움직,혼수
베 체트 병 눈 이외 증상 눈 증상 발현 전 경우 구강 타 궤양 의 환자 외음부 궤양 피부 증상 관절염 증상 피부 과민성 반응 검사 반응 위 장관 증상 신경 증상 발생 베 체트 병 악화 호전 반복 경과 것 특징 그 기간 횟수 예측 수가 재발 증상 사이 기간 평균 개월 주 정도 일 수도 가장 첫 증상 구강 외음부 궤양 특징 안내 염증 재발 안통 충혈 눈부심 시력 감퇴 동반 전방 축농 동반 홍채 염 처음 특징 증상 지금 환자 약,베체트병
일본뇌염 바이러스 감염 증상 경우 대부분 증상 감염 경우 모기 후 잠복기 발병 병 경과 그 증상 구기 급 성기 급 성기 회복기 주 로 분할 수 증상 고열 도 두통 현기증 구토 복통 지각 이상 등 증세 병 진행 의식 장애 경련 혼수 대개 발병 이내 사망 경과 경우 약 주 전후 열 회복,일본뇌염
만성 규폐증 급성 규폐증 증상 보이 증상 시간 대개 가래 기침 운동 시 호흡 곤란 발생 평소 가슴 흉통 발생 담배 경우 증상 더 수,규폐증
안면 홍조 일시 혈관 확장 발생 자율신경 혈관 활 물질 혈관 평활 의 작용 발생 자율 신경 기전 발생 경우 땀샘 활성화 발 동반 발 이 반드시 동반 것 안면 홍조 발생 시 피로 신경과민 불안 우울 등 동반 수 야간 발생 경우 수면장애 유발 낮 시간 동안 집중 저하 기도,안면홍조
눈 눈꺼풀 가려움증 결막 충혈 눈 화끈 거림 동반 전반 통증 눈부심 눈물 증상 주로 호소 이외 결막 증상 결막 부종 눈꺼풀 증상 동반 수 눈곱 분비물 동반 것 보통 알레르기 결막염 여러 형태 대부분 증상 계절 알레르기 결막염 나머지 아토피 결막염 봄철 결막염 거대 유두 결막염 수 계절 알레르기 결막염 은 공기 중 꽃가루 먼지 동물 비듬 진드기 등 항원 작용 결막 비만 세포 자극 즉시 알레르기 반응 알레르기 결막염 증상 눈 경우 가끔 비강 인후 부의 염증 동반 아토피 결막염 은 대개 아토피피부염 동반 발병 남자 후반 시작 발병 알레르기 질환 가족 원추각막 백내장 발생 망막박리 보고 원인 즉시 알레르기 반응 연성 알레르기 반응 관련 것 봄철 결막염 은 양안 성의 성적 결막염 대개 세 이전 발병 사춘기 대부분 곳 발병 남자 배 가족 수 아토피 천식 습진 등 동반 수 이상 점 각막염 미란 표피 피부 결손 궤양 등 각막 병변 동반 거대 유두 결막염 은 비감 염성 염증 질환 거대 유두 위 눈꺼풀 결막 질환 호산구 내의 탈 과립 증가 염증 반응 유발 것 발생 남녀 차이나 연령 대부분 그 원인 수 연성 콘택트렌즈 소프트 렌즈 백내장 수술 각막 이식 후 노출 봉합 사 의안 공막 돌륭술 녹내장 수술 후 사용 봉합 사나 특수 기구 등 자극 주어 발생 연성 콘택트렌즈 착용 자의 대부분 콘택트렌즈 하드 렌즈 착용 자의 정도 거대 유두 결막염 발견 알레르기 결막염 증상,알레르기결막염
시력 하와 입체 시 저하 등 감각 기능 이상 동반,약시
전형 증상 폐경 여성 화농 성의 질 분비물 질 점막 부부 관계 시 통증 출혈 등 동반 수,위축성질염
상처 부위 증식 파상풍 균 이 번식 생산 신경독 소가 신경세포 작용 근육 경련 마비 통 몸 아픔 동반 수축 감염 질환 잠복기 증상 시작 시점 대부분 이내 발병 잠복기 병 경과 초기 상처 주위 국한 근육 수축 증상 진행 목 턱 근육 수축 먼저 입 못 거나 등 마비 증상 이후 몸통 근육 수축 진행 전신 경련 파상풍 발병 후 뒤 발열 오한 등 증상 동반 수,파상풍
가려움증 갈색 소변 무 담즙 대변 간 비대 비장 비대 복통 우상 복부 장 출혈 비 특이 전신 증상 기력 저하 체중 감소 성장 부진 구역 발열 오한 등 이 동반 수,영유아황달
흑색종 자각 증상 점 결절 이상 크기 피부 병변 로 경우 진단 위 주의 관찰 점 색소 모반 점 의 모양 비 대칭 크기 이상 색조 때 악성 의심 그 외 가렵거 움 통증 출혈 궤양 딱지 형성 표면 상태 변화 주변 크기 위성 병 소가 경우 주의 일반 피부 처음 발생 흑색종 모양 발생 양상 분포 등 특성 가지 다음 임 유형 악성 흑색 점 흑색종 존재 악성 흑색 점 발생 흑색종 말 한국인 악성 흑색 점 일종 상피 내 흑색종 간주 보통 노인 햇빛 노출 부위 얼굴 발생 경계 갈색 반 수년 서서히 주변 색조 띠 색소 반 이 병변 두 개 구진 미만 크기 오른 피부 병변 이나 결절 크기 증가 종양 세포 진피 내 침 윤하 악성 흑색 점 흑색종 표재 확산 흑색종 청소년 노인 연령 발생 대가 백인 가장 유형 부위 남자 등 부분 여자 정강이 처음 약간 융기 색소 반 시작 황 갈색 흑색 등 색조 경계 말단 흑색 점 흑색종 손바닥 발바닥 손가락 발가락 말단 부위 발생 한국인 비롯 동양인 흑인 가장 유형 손발톱 밑 병변 이 유형 속 손바닥 발바닥 등 갈색 갈색 색소 반 출현 차차 색소 반의 검은색 그 중앙 부 결절 종괴 덩어리 궤양 양상 아주 병변 색소 뚜렷 보이지 예 주의 요한 손발톱 흑색 줄무늬 반점 동반 경우 조갑 기질 흑색종 일 가능성 정밀 검사 결절 흑색종 처음 결절 상태 발견 유형 말 전형 것 개월 내 비교 청색 갈색 결절 종양 성장 빠르기 때문 조기 피부 곳 진행 거나 전이 가장 악성 유형 흑색종 피부암 중 전이 가장 림프절 뼈 폐 간 비장 중추신경계 등 장기 도 전이 수 주위 피부 전이 수도 전이 부위 증상 발바닥 발생 흑색종,악성흑색종
농포 모양 잔 물집 내부 액체 농 대개 주위 염증 홍반 동반 하나 여러 개 군집 발생 이 처음 농포 생기 기도 하나 다른 피부 병변 이차 생기 기도,농포
상상 임신 시 증상 실제 임신 때 신체 변화 무 월경 월경 복부팽 식욕 변화 구토 체중 증가 유방 크기 변화 유두 주변 색소 침착 모유 분비 심지어 태동 출산 때 진통 등 임신 시 모든 증상 수 겉보기 실제 임신 구분 경우 증상 상상 임신 환자 정도 병원 임신 진단 보고 상상 임신 가장 증상 자신 임신 증상 다음 증상 임신 때 배 시작 것 복부 팽 상상 임신 환자 약 경험 것 조사 상상 임신 복부 팽 일반 비만 것 실제 임신 때 양상 배 따라서 겉모습 볼 때 실제 임산부 구분 수도 이 의 상상 임신 환자 불규칙 월경 호소 의 환자 태동 기도,상상임신
라스 증후군 특징 증상 편 마비 반맹증 뇌졸중 유사 삽화 발생 공통 임 상적 소견 부분 전신 발작 재발 편두통 구토 신장 청력 소실 위약 등,멜라스증후군
초기 자각 증상 경우 꼬리뼈 근처 피부 함몰 소견 수 염증 생기 환자 의자 운동 다음 통 호소 경우 전신 증상 동반 미열 백혈구 증가 권태 감 등 수 농양 고름집 은 대개 정중 바깥쪽 생기며 정 중앙 선 상 구멍 함몰 부위 관찰 수 항문 약 꼬리뼈 부분 중앙 선상 개 그 이상 병변 관찰 염증 낭 종은 분비물 통증 동반 수 출혈 수 모발 약 과반수 발견 나머지 경우 모낭 감염 파열 각질 경우 낭 증상,모소낭
본인 수 자각 증상 통증 물감 눈 무엇 느낌 눈물 겉 증상 충혈 결막 부종 결막하출혈 여포 눈꺼풀 종창 등 수,아폴로눈병
전형 증상 아침 첫 발 때 통증 특징 모두 증상 것 통증 주로 발뒤꿈치 안쪽 발생 경우 대부분 발뒤꿈치 뼈 내 종골 결절 부위 통증 발생 발가락 발등 쪽 구부리 통증 기도 주로 때 통증 시작 통증 발생 일정 시간 통증 다시 양상 진행 족저근막염 경우 때 느낌 지속 하루 일과 시간 통증 정도 경우,족저근막염
난관 종이 발생 수 원인 증상 수 골반 염 성병 자궁 내막 증 등 복통 유발 임신 시도 경우 난임 난 임검 과정 알 경우 증상 임신 시도 환자 발견,난관수종
유전 말초신경 병증 각 형 증상 유전 운동 감각 병증 운동신경 손상 팔 다리 쪽 근육 살이 손목 무릎 아래쪽 근육 이로 발등 위로 휘 걷기 손 작업 수행 것 뿐 감각 신경 장애 발생 통증 피부 궤양 등 수 운동신경 장애 비 그 증상 매우 쪽 유전 운동신경 병증 말 감각 신경 장애 유전 운동 감각 신경 병증 운동신경 장애 질병 두 질환 구분 것 편이 유전 감각 병증 통증 온도 대한 반응 조절 감각 신경 신체 불수 의적 자율 반응 조절 자율신경계 영향 따라서 감각 손발톱 주위 염증 발생 등 증상,유전성말초신경병증
혈관종 생후 개월 동안 증 식기 동안 정체 상태 그 후 동안 서서히 지속 크기,혈관종
생각 지도 낯선 사람 성기 노출 행위 중심 성적 흥분 공상 성적 충 성적 행동 반복 일어난다 노출 예상 때 성적 흥분 노출 시 노출 후 자위 행위 통해 성적 만족 거의 대부분 남자 여자,노출장애
요추 관 협착증 경우 허리 통증 빈번 추간판 탈출 증 때 달리 엉덩이 항문 쪽 듯 듯 거나 것 통증 다리 감각 장애 근력 저하 동반 찬 기후 활동 악화 안정 취하 호전 것 일반 증상 자주 발생 허리 걸음 쉬 다시 보행 증상 반복 이 증상 신경 인성 간 적 파행 증 협착 정도 보행 거리 보통 종아리 발목 무릎 허벅지 엉덩이 및 서혜부 범위 감각 소실 및 감 감각 이상 증상 수 괄약근 장애 가장 경추 관 협착증 임 증상 주로 신경조직 손상 정도 목 부위 통증 어깨 양팔 통증 양팔 운동 및 감각 이상 소견 척수 병증 등 목 및 어깨 양팔 신경근 따라서 통증 가장 증상 세 이후 경우 증상 완화 악화 반복 개월 수년 서서히 진행 외상 악화 다리 운동 부전 마비 보행 장애 배뇨 장애 등 증상,척추관협착증
내외 흰색 노란색 좁쌀 모양 피부 병변 단발 다발 발생 발성 안면 뺨 눈꺼풀 발생 연령 발생 발성 발성 모양 피부 손상 자리,비립종
증상 복부 팽 복부 통증 체중 증가 오심 구토 핍뇨 호흡 곤란 등 발생 수,난소과자극증후군
비문증 시야 이상 시력 저하 발생 수,망막출혈
증상 따라서 두 가지 구분 주로 심리 징후 증상 것 이 형 심리 증상 징후 주로 경우 부류 개인 배우자 사망 후 우울 자살 사고 배우자 사망 다른 정보 제공 확인 기억 상실 단기 장기 기억 환각 환청 환시 해리 증상 호소 개인 암시 매우 진찰 위해 의사 증상 고 답변 때 그 질문 때 극히 항적 비 협조 일 수 개인 이야기 내용 대개 그 정신장애 대한 개념 반영 진단 범주 일치 주로 신체 징후 증상 것 임 양상 메 거림 구토 동반 좌 하복부 복통 현훈 다량 각혈 전신 발진 농양 확인 원인 발열 항 응고 제 복용 후의 이차 출혈 홍 양 증후군 모든 기관 잠재 표적 개인 호소 증상 개인 의학 지식 궤변 상상 범위 내,인위성장애
신경초 종이 발생 부위 증상 발생 수 우선 뇌신경 발생 뇌종양 뇌 압박 신경학 증상 발생 수 대부분 뇌신경 뇌간 및 소뇌 부위 인접 이 뇌 부위 압박 운동 실조 손발 균형감각 저하 나 상 운동 마비 발생 수 경우 의식 저하 동반 혼수상태 수 또한 이 부위 신경초 종이 뇌 척 수액 뇌실 압박 뇌척수액 흐름 방해 경우 증 발생 수 이로 여러 증상 두통 구역 구토 등 뇌압 항진 증상 및 보행 장애 인지 기능 저하 소변 장애 이 발생 수도 신경초 종이 발생 뇌신경 따라서 다음 증상 발생 수 청신경 발생 이명 청력 저하 어지러움 증 균형감각 장애 삼차 신경 발생 얼굴 안면 감각 저하 통증 삼차 신경통 하부 뇌신경 설인 신경 미주신경 부 신경 신경 발생 곤란 쉰 목소리 혀 위축 발생 부위 위 증상 수 특정 뇌신경 발생 주변 인접 다른 뇌신경 영향 주어 여러 증상 수 뇌 발생 초종 가장 것 청신경 초종 다음 삼차 신경 초종 이 외 뇌신경 발생 경우 척수 신경 발생 척수 신경초 종은 척추강 내 가장 발생 종양 병 진행 척수 기능 상실 하반신 마비 항문 및 방광 괄약근 부전 증상 발생 수,신경초종
